name,url,park,park_url,opened,type,height,length,inversions,speed,duration,longitude,latitude,country
North America (NA Region),Field Operations,0,More than 10 years,No,0,Kilgore  TX,More than 10 years,Field Operations,More than 10 years,North America (NA Region),,0,0
North America (NA Region),Sales/Business Development,0,1 to 5 years,No,0,Corpus Christi  TX,1 to 5 years,Sales/Business Development,1 to 5 years,North America (NA Region),,0,0
All regions/functions (executive),Corporate/Office/Administration,0,1 to 5 years,Yes,No,Houston - Greenspoint North,1 to 5 years,Corporate/Office/Administration,1 to 5 years,All regions/functions (executive),,0,0
Latin American (LA Region),Corporate/Office/Administration,0,1 to 5 years,Yes,No,Brazil,1 to 5 years,Corporate/Office/Administration,1 to 5 years,Latin American (LA Region),,0,0
North America (NA Region),Corporate/Office/Administration,0,Less than 1 year,Yes,Yes,Broken Arrow  OK,Less than 1 year,Corporate/Office/Administration,Less than 1 year,North America (NA Region),,0,0
North America (NA Region),Fabrication/Shop,0,1 to 5 years,No,0,Davis  Ok,1 to 5 years,Fabrication/Shop,1 to 5 years,North America (NA Region),,0,0
North America (NA Region),Field Operations,HSE,1 to 5 years,No,0,Kilgore  TX,1 to 5 years,Field Operations,1 to 5 years,North America (NA Region),,0,0
North America (NA Region),Field Operations,field service tech,Less than 1 year,No,0,Wexford  PA,Less than 1 year,Field Operations,Less than 1 year,North America (NA Region),,0,0
North America (NA Region),Engineering,0,Less than 1 year,No,0,Houston - Brittmoore,Less than 1 year,Engineering,Less than 1 year,North America (NA Region),,0,0
North America (NA Region),Sales/Business Development,0,6 to 10 years,No,0,Broken Arrow  OK,6 to 10 years,Sales/Business Development,6 to 10 years,North America (NA Region),,0,0
North America (NA Region),Corporate/Office/Administration,0,1 to 5 years,No,0,Houston - Greenspoint North,1 to 5 years,Corporate/Office/Administration,1 to 5 years,North America (NA Region),,0,0
North America (NA Region),Corporate/Office/Administration,0,Less than 1 year,No,0,Greenspoint South,Less than 1 year,Corporate/Office/Administration,Less than 1 year,North America (NA Region),,0,0
North America (NA Region),Corporate/Office/Administration,0,1 to 5 years,No,0,Dallas  TX,1 to 5 years,Corporate/Office/Administration,1 to 5 years,North America (NA Region),,0,0
North America (NA Region),Fabrication/Shop,0,1 to 5 years,No,0,Columbus  TX,1 to 5 years,Fabrication/Shop,1 to 5 years,North America (NA Region),,0,0
All regions/functions (executive),Corporate/Office/Administration,Internal Audit,Less than 1 year,No,0,Houston - Greenspoint North,Less than 1 year,Corporate/Office/Administration,Less than 1 year,All regions/functions (executive),,0,0
Latin American (LA Region),Corporate/Office/Administration,0,1 to 5 years,Yes,No,Greenspoint South,1 to 5 years,Corporate/Office/Administration,1 to 5 years,Latin American (LA Region),,0,0
Corporate Services Group (CSG),Sales/Business Development,0,More than 10 years,No,0,Houston - Brittmoore,More than 10 years,Sales/Business Development,More than 10 years,Corporate Services Group (CSG),,0,0
North America (NA Region),Corporate/Office/Administration,0,1 to 5 years,Yes,No,Rock Springs  WY,1 to 5 years,Corporate/Office/Administration,1 to 5 years,North America (NA Region),,0,0
Operations Services Group (OSG),Corporate/Office/Administration,Transportation,Less than 1 year,Yes,Yes,Houston - Brittmoore,Less than 1 year,Corporate/Office/Administration,Less than 1 year,Operations Services Group (OSG),,0,0
Latin American (LA Region),Engineering,0,1 to 5 years,No,0,Greenspoint South,1 to 5 years,Engineering,1 to 5 years,Latin American (LA Region),,0,0
North America (NA Region),Field Operations,0,6 to 10 years,No,0,Bakersfield  CA,6 to 10 years,Field Operations,6 to 10 years,North America (NA Region),,0,0
Latin American (LA Region),Field Operations,0,6 to 10 years,No,0,Argentina,6 to 10 years,Field Operations,6 to 10 years,Latin American (LA Region),,0,0
Latin American (LA Region),Engineering,0,Less than 1 year,No,0,Brazil,Less than 1 year,Engineering,Less than 1 year,Latin American (LA Region),,0,0
Corporate Services Group (CSG),Corporate/Office/Administration,0,1 to 5 years,No,0,Houston - Greenspoint North,1 to 5 years,Corporate/Office/Administration,1 to 5 years,Corporate Services Group (CSG),,0,0
Latin American (LA Region),Field Operations,0,More than 10 years,No,0,Argentina,More than 10 years,Field Operations,More than 10 years,Latin American (LA Region),,0,0
Corporate Services Group (CSG),Corporate/Office/Administration,0,Less than 1 year,Yes,Yes,Houston - Greenspoint North,Less than 1 year,Corporate/Office/Administration,Less than 1 year,Corporate Services Group (CSG),,0,0
North America (NA Region),Field Operations,0,More than 10 years,Yes,No,Evanston  WY,More than 10 years,Field Operations,More than 10 years,North America (NA Region),,0,0
