RespondentID,Support Region,Current Role,Current Role Other,Time with company,Supervisor,Supervise supervisors,Location,Location (Other),Customer service,Technological innovation,Market Leadership,Reliability,Performance,Quality,Global presence,Reputation,Experience in industry,Expertise of people,Breadth and scale of offerings,Speed in delivery,Competitive pricing,Other,Q7. Other,What do you believe is the PRIMARY attribute that differentiates Exterran or makes us better than other companies in the industry?,Have you spoken with an Exterran customer or potential customer in the past 6 months?,Please tell us how strongly you agree or disagree with the following statement: I have the tools I need to talk about Exterran's advantages with customers and potential customers.,Talking points/messages,Print advertising,Video (mobile),PowerPoint Slides,Product brochures,Technical literature,Other,Reasons 1 Code,Reason 1 Translated,Reason 1 Code 1,Reason 1 Code 2,Reason 2 ,Reason 2 Translated,Reason 2 Code 1,Reason 2 Code 2,Reason 3,Reason 3 Translated,Reason 3 Code 1,Reason 3 Code 2,"In your experience, What do customers most frequently tell you is the main reason that they choose Exterran over other providers?",Otherpleasespecify_B,"In your opinion, If a customer does not choose Exterran, what is the main reason they are likely to choose another provider?",Q14 Translated,Q14 Code 1,Q14 Code 2,Q14 Code 3
2008732078,Eastern Hemisphere (EH Region),Corporate/Office/Administration,Global Planning,Less than 1 year,Yes,Yes,UAE,,,,,,,,Global presence,,Experience in industry,Expertise of people,,,,,,Global presence,Yes,Somewhat disagree,,,Video (mobile),PowerPoint Slides,Product brochures,,,Cradle to grave excellence.,,Always get job done/Reliable,,Experience and skill of employees drive success,,Experience/industry knowledge,,your ROI is better than competition.,,Better value,,Technical competence,,Price,,Price,,
2007234070,North America (NA Region),Field Operations,,6 to 10 years,Yes,Yes,"Corpus Christi, TX",,Customer service,,Market Leadership,Reliability,Performance,Quality,,Reputation,Experience in industry,Expertise of people,,,,,,Global presence,Yes,Strongly Agree,Talking points/messages,,,,,,,"We have dedicated, motivated and factory trained FST's.",,Technical experts,,you can count on us to stand behind our work.,,Stand Behind Work/Integrity,,you can count on us to be ethical in our business dealings.,,Stand Behind Work/Integrity,,Quality,,Price,,Price,,
2007331605,North America (NA Region),Corporate/Office/Administration,Supply Chain,More than 10 years,No,,Houston - Brittmoore,,Customer service,,,,Performance,Quality,,,Experience in industry,,,,,,,Technological innovatin,Yes,Strongly Agree,,,,,Product brochures,,,We can handle all there needs,,Range of capabilities,,we have the best people,,Well-trained/qualified personnel,,you as the customer are number one,,Customer service focused,,Service,,Price and don't feel our Supervisors or mechanics give them the support that they need.,,Price,Customer Service,
2008064120,Eastern Hemisphere (EH Region),Field Operations,,1 to 5 years,Yes,Yes,Gabon,,,,Market Leadership,Reliability,Performance,Quality,,,Experience in industry,Expertise of people,,Speed in delivery,,,,Speed in delivery,Yes,Strongly Agree,Talking points/messages,,,,,Technical literature,,Technical Experties,,Technical experts,,Fast Relaible Services,,Timely delivery,,Worldwide Assistence,,Global support,,Experienced workforce,,Some time lack of operation management decision.,,Delivery,,
2007482296,North America (NA Region),Engineering,,6 to 10 years,Yes,No,"Davis, Ok",,,,,,,Quality,Global presence,,,,Breadth and scale of offerings,,,,,Customer service,Yes,Somewhat agree,,,,,Product brochures,,,Technical expertise,,Technical experts,,One stop shop,,Range of products,,World Wide support,,Global support,,,,Speed and Price,,Price,Delivery,
2077834821,North America (NA Region),Field Operations,,More than 10 years,No,,"Broussard, LA",,Customer service,Technological innovation,,Reliability,Performance,Quality,,Reputation,Experience in industry,Expertise of people,,,,,,Market leadership,Yes,Strongly Agree,,,,,Product brochures,Technical literature,,24 HOUR CALLS,,Availability,,CUSTOMER RELACHIONS,,Customer service focused,,WORK SPEEKS FOR IT SELF,,History of excellence,,Quality,,PRICES,,Price,,
2017440511,North America (NA Region),Field Operations,,More than 10 years,No,,"Liberty, TX",,Customer service,,Market Leadership,Reliability,Performance,Quality,Global presence,,Experience in industry,Expertise of people,,Speed in delivery,Competitive pricing,,,Market leadership,Yes,Strongly Agree,,Print advertising,,,,Technical literature,,customer servce is #1 priority,,Customer service focused,,expertise in service,,Technical experts,,work safety is important,,Safety,,Reputation,,availibilty,,Availability,,
2103415196,Eastern Hemisphere (EH Region),Sales/Business Development,,1 to 5 years,No,,Russia,,,,,,Performance,,Global presence,Reputation,Experience in industry,,,,,,,Reputation,Yes,Somewhat disagree,Talking points/messages,,,,,Technical literature,,Experience,,Experience/industry knowledge,,reputation,,Reputation,,Wish to help customers,,Customer service focused,,Quality,,Price and speed,,Price,Delivery,
2012849798,North America (NA Region),Field Operations,,6 to 10 years,No,,"Fairfield, TX",,Customer service,,,,Performance,Quality,,Reputation,Experience in industry,Expertise of people,,,Competitive pricing,,,Market leadership,Yes,Somewhat agree,Talking points/messages,,,,,,,service,,Customer service focused,,safety record,,Safety,,wide varity of equipment,,Range of products,,Quality,,price,,Price,,
2112292002,North America (NA Region),Field Operations,,1 to 5 years,No,,"Houma, LA",,Customer service,Technological innovation,,Reliability,Performance,Quality,,Reputation,Experience in industry,Expertise of people,,,,,,Market leadership,Yes,Strongly Agree,,Print advertising,Video (mobile),,Product brochures,Technical literature,,Customer satifation,,Customer service focused,,Reliable equipment,,Always get job done/Reliable,,Well trained people,,Well-trained/qualified personnel,,Quality,,They got it cheaper but they gripe because they have gotten cheaper but the service is not there or equipment is not up to par,,Price,,
2009419468,Eastern Hemisphere (EH Region),Sales/Business Development,,More than 10 years,Yes,Yes,UAE,,Customer service,,,Reliability,,,,,,,,,,,,Quality,Yes,Strongly Agree,,,,PowerPoint Slides,Product brochures,,,we can offer them value through our product offerings.,,Offers solutions to any problem,,"we will get the job done, and not low competitors will.",,Always get job done/Reliable,,weare compression experts.,,Experience/industry knowledge,,Price,,price,,Price,,
2007382742,North America (NA Region),Engineering,,More than 10 years,Yes,No,Canada,,,,,,,,,,Experience in industry,Expertise of people,,,,,,Global presence,Yes,Strongly Agree,,,Video (mobile),,,,,experienced personnel.,,Experience/industry knowledge,,competitive pricing.,,Best Price/Competitive Price,,wealth of knowledge to draw from.,,Experience/industry knowledge,,Technical competence,,looking for jobber or Non-OEM parts.,,Specialized equipment,,
2090696147,North America (NA Region),Engineering,Applications,1 to 5 years,No,,"Troy, PA",,Customer service,,Market Leadership,,,,Global presence,,Experience in industry,,,,,,,Competitive pricing,Yes,Somewhat agree,Talking points/messages,Print advertising,Video (mobile),PowerPoint Slides,Product brochures,Technical literature,,our service,,Customer service focused,,we have the largest compression fleet in the world,,Large inventory/fleet,,we work with you to help you be successfull,,Customer service focused,,Quality,,price or delivery,,Price,Delivery,
2007205756,North America (NA Region),Engineering,,Less than 1 year,No,,"Broken Arrow, OK",,Customer service,Technological innovation,Market Leadership,Reliability,Performance,Quality,,,Experience in industry,Expertise of people,,,,14,adaptability,Expertise of people,Yes,Somewhat agree,,,,,,Technical literature,,We offer powerful solutions to our customers,,Offers solutions to any problem,,Our process is rigorous and thorough,,Other,,We want to our customers to succeed.,,Customer service focused,,Experienced workforce,,pricing,,Price,,
2007211523,North America (NA Region),Fabrication/Shop,,1 to 5 years,Yes,Yes,"Broken Arrow, OK",,Customer service,,,,,,,,,,,,,,,Performance,Yes,Somewhat agree,,Print advertising,,,,,,we have the ability to offer solutions to all of your needs.,,Offers solutions to any problem,,we are able to provide engineering resourses.,,"Innovative, Adaptive, Technological",,we value Quality and safety above all.,,Quality,Safety,Service,,P{rice,,Price,,
2017572334,North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,"Arcadia, LA",,Customer service,,,Reliability,,Quality,,,,Expertise of people,,,,,,Global presence,Yes,Somewhat agree,Talking points/messages,,,,Product brochures,Technical literature,,Our technicians are highly skilled and knowledgeable.,,Well-trained/qualified personnel,,We take pride in our quality of work.,,Stand Behind Work/Integrity,,We value our customers input.,,Customer service focused,,Technical competence,,Price.,,Price,,
2009502320,North America (NA Region),Engineering,,6 to 10 years,No,,"Broussard, LA",,Customer service,Technological innovation,Market Leadership,Reliability,Performance,Quality,Global presence,Reputation,Experience in industry,Expertise of people,Breadth and scale of offerings,Speed in delivery,Competitive pricing,,,Experience in industry,Yes,Strongly Agree,,,,,Product brochures,Technical literature,,WE ARE EXPERIENCED WITH PRODUCTION EQUIPMENT,,Technical experts,,WE ARE HERE TO HELP THEIR NEEDS DAILY,,Customer service focused,,WE TRY TO DELIVER A QUALITY MADE PRODUCT,,Quality,,Technical competence,,WE CAN NOT MEET THE CUSTOMER'S DELIVERY SCHEDULE,,Delivery,,
2007536716,North America (NA Region),Field Operations,,More than 10 years,Yes,Yes,"Brenham, TX",,Customer service,,,Reliability,Performance,,Global presence,Reputation,,Expertise of people,,,Competitive pricing,,,Market leadership,Yes,Somewhat agree,Talking points/messages,Print advertising,,,Product brochures,,,we provide great service,,Customer service focused,,we have highly trained and experienced mechanics,,Well-trained/qualified personnel,Technical experts,we take pride in everything we do,,Stand Behind Work/Integrity,,Quality,,pricing,,Price,,
2007453695,Operations Services Group (OSG),Corporate/Office/Administration,,More than 10 years,No,,"Broussard, LA",,Customer service,,,Reliability,Performance,Quality,Global presence,,Experience in industry,Expertise of people,,,Competitive pricing,,,Market leadership,Yes,Somewhat agree,Talking points/messages,Print advertising,,,,,,We work with and take care of our customers needs,,Customer service focused,,We have skilled technicians,,Technical experts,,We take pride in achieving quality service for our customers,,Customer service focused,Stand Behind Work/Integrity,Reputation,,To obtain a lower price for the same service,,Price,,
2071360066,North America (NA Region),Field Operations,,More than 10 years,Yes,No,"Broussard, LA",,Customer service,Technological innovation,Market Leadership,Reliability,Performance,Quality,,Reputation,Experience in industry,Expertise of people,,Speed in delivery,Competitive pricing,,,Technological innovatin,Yes,Strongly Agree,Talking points/messages,,,,,,,WE HAVE QUAILTY WORKERS,,Well-trained/qualified personnel,,WE GET THE JOB DONE RIGHT,,Always get job done/Reliable,,WE STAND BEHIND OUR WORK,,Stand Behind Work/Integrity,,Technical competence,,LOWER PRICES,,Price,,
2008287272,North America (NA Region),Sales/Business Development,,Less than 1 year,No,,"Denver, CO",,Customer service,,Market Leadership,,,,Global presence,,Experience in industry,Expertise of people,Breadth and scale of offerings,,,,,Customer service,Yes,Somewhat agree,Talking points/messages,,,,,Technical literature,,we have the largest fleet,,Large inventory/fleet,,we care about their needs,,Customer service focused,,we stand behind our products and services,,Stand Behind Work/Integrity,,Breadth of offering,,"better price on a ""me too"" offering",,Price,,
2028776584,North America (NA Region),Sales/Business Development,,More than 10 years,Yes,No,"Columbus, TX",,Customer service,,Market Leadership,Reliability,Performance,Quality,,Reputation,Experience in industry,Expertise of people,,Speed in delivery,Competitive pricing,,,Reputation,Yes,Strongly Agree,,,,,Product brochures,,,we have a long history of building quality products,,Quality,,"we may be more expensive, but our products are of better quality",,Quality,,we stand behind our product and can provide service if needed,,Stand Behind Work/Integrity,,Reputation,,PRICE,,Price,,
2093758060,Operations Services Group (OSG),Engineering,,1 to 5 years,Yes,Yes,Houston - Brittmoore,,Customer service,,,Reliability,Performance,Quality,Global presence,Reputation,Experience in industry,Expertise of people,Breadth and scale of offerings,,,,,Market leadership,Yes,Somewhat agree,Talking points/messages,,,,Product brochures,,,We have great products and services,,Quality,,We adapt to their needs,,"Innovative, Adaptive, Technological",,We stand behind everything we do,,Stand Behind Work/Integrity,,Quality,,Price and/or delivery,,Price,Delivery,
2090732292,North America (NA Region),Field Operations,,More than 10 years,No,,Houston - Brittmoore,,Customer service,Technological innovation,,,Performance,,,,Experience in industry,Expertise of people,,,,,,Market leadership,Yes,Somewhat agree,,,,,,Technical literature,,"I commit to doing what I say, Exterran will do it!",,Stand Behind Work/Integrity,,We will stand behind our product!,,Stand Behind Work/Integrity,,We smash more gas than any other compressor company!,,Best,,,We have helped the customer fix our problem.,"Clean, operator friendly, low ball, on thrill compressor.",,Price,Customer Service,
2090678035,North America (NA Region),Sales/Business Development,,More than 10 years,No,,"Dallas, TX",,Customer service,Technological innovation,,Reliability,,,,,,,Breadth and scale of offerings,,,,,Customer service,Yes,Strongly Agree,Talking points/messages,,,,,,,we provide solutions,,Service the product we manufacture,,we provide solutions,,Offers solutions to any problem,,we provide solutions,,Offers solutions to any problem,,,Exterran provides solutions,speed to market,,Delivery,,
