Location role supports,Primary Role,Primary Role (other),Time with company,Supervise one or more person,Supervise other supervisors,Location,Location (Other)
North America (NA Region),Field Operations,,More than 10 years,No,,"Kilgore, TX",
North America (NA Region),Sales/Business Development,,1 to 5 years,No,,"Corpus Christi, TX",
All regions/functions (executive),Corporate/Office/Administration,,1 to 5 years,Yes,No,Houston - Greenspoint North,
Latin American (LA Region),Corporate/Office/Administration,,1 to 5 years,Yes,No,Brazil,
North America (NA Region),Corporate/Office/Administration,,Less than 1 year,Yes,Yes,"Broken Arrow, OK",
North America (NA Region),Fabrication/Shop,,1 to 5 years,No,,"Davis, Ok",
North America (NA Region),Field Operations,HSE,1 to 5 years,No,,"Kilgore, TX",
North America (NA Region),Field Operations,field service tech,Less than 1 year,No,,"Wexford, PA",
North America (NA Region),Engineering,,Less than 1 year,No,,Houston - Brittmoore,
North America (NA Region),Sales/Business Development,,6 to 10 years,No,,"Broken Arrow, OK",
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Greenspoint North,
North America (NA Region),Corporate/Office/Administration,,Less than 1 year,No,,Greenspoint South,
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,"Dallas, TX",
North America (NA Region),Fabrication/Shop,,1 to 5 years,No,,"Columbus, TX",
All regions/functions (executive),Corporate/Office/Administration,Internal Audit,Less than 1 year,No,,Houston - Greenspoint North,
Latin American (LA Region),Corporate/Office/Administration,,1 to 5 years,Yes,No,Greenspoint South,
Corporate Services Group (CSG),Sales/Business Development,,More than 10 years,No,,Houston - Brittmoore,
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,Yes,No,"Rock Springs, WY",
Operations Services Group (OSG),Corporate/Office/Administration,Transportation,Less than 1 year,Yes,Yes,Houston - Brittmoore,
Latin American (LA Region),Engineering,,1 to 5 years,No,,Greenspoint South,
North America (NA Region),Field Operations,,6 to 10 years,No,,"Bakersfield, CA",
Latin American (LA Region),Field Operations,,6 to 10 years,No,,Argentina,
Latin American (LA Region),Engineering,,Less than 1 year,No,,Brazil,
Corporate Services Group (CSG),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Greenspoint North,
Latin American (LA Region),Field Operations,,More than 10 years,No,,Argentina,
Corporate Services Group (CSG),Corporate/Office/Administration,,Less than 1 year,Yes,Yes,Houston - Greenspoint North,
North America (NA Region),Field Operations,,More than 10 years,Yes,No,"Evanston, WY",
North America (NA Region),Engineering,,More than 10 years,Yes,No,Houston - Brittmoore,
All regions/functions (executive),Corporate/Office/Administration,,6 to 10 years,No,,Houston - Greenspoint North,
All regions/functions (executive),Corporate/Office/Administration,,6 to 10 years,Yes,No,Houston - Brittmoore,
North America (NA Region),Field Operations,,More than 10 years,Yes,No,"Houma, LA",
North America (NA Region),Field Operations,,1 to 5 years,Yes,No,"Broussard, LA",
